symbol,universe_tag,generated_at_utc
APA,universe_midcaps_v1,2025-12-20T17:03:04+00:00
APAC,universe_midcaps_v1,2025-12-20T17:03:04+00:00
APAD,universe_midcaps_v1,2025-12-20T17:03:04+00:00
APAM,universe_midcaps_v1,2025-12-20T17:03:04+00:00
APEI,universe_midcaps_v1,2025-12-20T17:03:04+00:00
APGE,universe_midcaps_v1,2025-12-20T17:03:04+00:00
API,universe_midcaps_v1,2025-12-20T17:03:04+00:00
APLD,universe_midcaps_v1,2025-12-20T17:03:04+00:00
APLE,universe_midcaps_v1,2025-12-20T17:03:04+00:00
APLM,universe_midcaps_v1,2025-12-20T17:03:04+00:00
APLS,universe_midcaps_v1,2025-12-20T17:03:04+00:00
APM,universe_midcaps_v1,2025-12-20T17:03:04+00:00
APOG,universe_midcaps_v1,2025-12-20T17:03:04+00:00
APPF,universe_midcaps_v1,2025-12-20T17:03:04+00:00
APPN,universe_midcaps_v1,2025-12-20T17:03:04+00:00
APPS,universe_midcaps_v1,2025-12-20T17:03:04+00:00
APT,universe_midcaps_v1,2025-12-20T17:03:04+00:00
APUS,universe_midcaps_v1,2025-12-20T17:03:04+00:00
APVO,universe_midcaps_v1,2025-12-20T17:03:04+00:00
APWC,universe_midcaps_v1,2025-12-20T17:03:04+00:00
APXT,universe_midcaps_v1,2025-12-20T17:03:04+00:00
APYX,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AQMS,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AQN,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AQST,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ARAI,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ARBB,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ARBE,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ARBK,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ARCB,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ARCO,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ARCT,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ARDT,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ARDX,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ARE,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AREC,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AREN,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ARHS,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ARI,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ARKO,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ARKR,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ARL,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ARLO,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ARLP,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ARMK,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ARMN,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ARMP,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AROC,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AROW,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ARQ,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ARQQ,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ARQT,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ARR,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ARRY,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ARTL,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ARTNA,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ARTV,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ARTW,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ARVN,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ARW,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ARWR,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ARX,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ASAN,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ASB,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ASC,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ASGN,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ASH,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ASIC,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ASIX,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ASLE,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ASM,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ASMB,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ASO,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ASPC,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ASPI,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ASPN,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ASPS,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ASR,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ASRV,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ASTC,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ASTE,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ASTH,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ASTI,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ASTL,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ASUR,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ASYS,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ATAI,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ATAT,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ATEC,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ATEN,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ATEX,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ATGE,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ATGL,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ATHA,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ATHE,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ATHM,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ATHR,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ATII,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ATKR,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ATLC,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ATLN,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ATLO,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ATLX,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ATMC,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ATMU,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ATNI,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ATNM,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ATOM,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ATR,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ATRA,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ATRC,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ATRO,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ATS,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ATXS,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AUB,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AUBN,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AUDC,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AUGO,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AUNA,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AUPH,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AUR,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AURA,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AUST,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AUTL,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AVA,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AVAH,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AVAL,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AVBC,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AVBH,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AVBP,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AVD,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AVDL,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AVIR,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AVNS,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AVNT,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AVNW,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AVO,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AVPT,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AVR,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AVT,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AVTR,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AVTX,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AVX,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AVXL,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AWI,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AWR,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AWRE,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AWX,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AX,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AXG,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AXGN,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AXIL,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AXIN,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AXL,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AXR,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AXS,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AXSM,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AXTA,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AXTI,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AYTU,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AZ,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AZI,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AZTA,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AZZ,universe_midcaps_v1,2025-12-20T17:03:04+00:00
BACC,universe_midcaps_v1,2025-12-20T17:03:04+00:00
BACQ,universe_midcaps_v1,2025-12-20T17:03:04+00:00
BAER,universe_midcaps_v1,2025-12-20T17:03:04+00:00
